,Lien,Prix,Type de propriété,Vente publique,Immeuble de rapport,Bien neuf,Code Postal,Ville,Sous-type de propriété,Nombre de façades,Etat du bâtiment,Surface habitable,Nombre de chambre(s),Type de cuisine,Feu ouvert,Meublé,Jardin,Surface du jardin,Terrasse,Surface de la terrasse,Surface totale du terrain,Piscine,Surface de la zone constructible
16298,https://www.immoweb.be/fr/annonce/ferme/a-vendre/nives/6640/8875642,120000,Maison,True,False,False,6640,Nives,Ferme,4.0,None,None,5.0,None,False,False,False,None,False,None,None,False,None
16299,https://www.immoweb.be/fr/annonce/maison/a-vendre/huy/4500/8902127,"Faire offre à partir de  
                                                                                        140000",Maison,False,False,False,4500,Huy,Maison,3.0,Bon,None,2.0,Équipée,False,False,True,None,True,None,None,False,None
16300,https://www.immoweb.be/fr/annonce/maison/a-vendre/faulx-les-tombes/5340/8801076,145000,Maison,True,False,False,5340,Faulx-les-Tombes,Maison,4.0,À rafraîchir,None,1.0,None,False,False,False,None,False,None,461.0,False,None
16301,https://www.immoweb.be/fr/annonce/maison/a-vendre/haine-saint-paul/7100/8847829,150000,Maison,False,False,False,7100,Haine-Saint-Paul,Maison,2.0,À rénover,None,None,None,False,False,False,None,False,None,None,False,None
16302,https://www.immoweb.be/fr/annonce/maison/a-vendre/kortessem/3720/8888377,185000,Maison,False,False,False,3720,Kortessem,Maison,4.0,None,240.0,3.0,Équipée,False,False,True,None,False,None,831.0,False,None
16303,https://www.immoweb.be/fr/annonce/maison/a-vendre/modave/4577/8868799,"Faire offre à partir de  
                                                                                        185000",Maison,False,False,False,4577,Modave,Maison,3.0,None,None,3.0,None,False,False,True,None,True,17.0,305.0,False,None
16304,https://www.immoweb.be/fr/annonce/maison/a-vendre/berlaar/2590/8921259,200000,Maison,True,False,False,2590,Berlaar,Maison,3.0,À rafraîchir,138.0,2.0,None,False,False,False,None,False,None,535.0,False,None
16305,https://www.immoweb.be/fr/annonce/maison/a-vendre/villers-saint-ghislain/7031/8904981,215000,Maison,False,False,False,7031,VILLERS-SAINT-GHISLAIN,Maison,3.0,Bon,175.0,5.0,Semi-équipée,False,False,False,None,False,None,373.0,False,None
16306,https://www.immoweb.be/fr/annonce/maison/a-vendre/roulers/8800/8835691,215000,Maison,False,False,False,8800,Roulers,Maison,2.0,None,180.0,3.0,None,False,False,False,None,False,None,273.0,False,None
16307,https://www.immoweb.be/fr/annonce/maison/a-vendre/wavre/1300/8902603,220000,Maison,True,False,False,1300,Wavre,Maison,2.0,Fraîchement rénové,None,4.0,None,False,False,False,None,False,None,320.0,False,None
16308,https://www.immoweb.be/fr/annonce/immeuble-mixte/a-vendre/seraing/4100/8916986,240000,Maison,False,True,False,4100,Seraing,Immeuble mixte,2.0,À rafraîchir,350.0,3.0,None,False,False,True,25.0,True,None,170.0,False,None
16309,https://www.immoweb.be/fr/annonce/bungalow/a-vendre/tongres/3700/8647434,245000,Maison,False,False,False,3700,Tongres,Bungalow,4.0,None,157.0,2.0,Équipée,True,False,False,None,False,None,1517.0,False,None
16310,https://www.immoweb.be/fr/annonce/maison/a-vendre/erpe-mere/9420/8916733,250000,Maison,False,False,False,9420,Erpe-Mere,Maison,2.0,Excellent état,148.0,3.0,Équipée,False,False,False,None,False,None,177.0,False,None
16311,https://www.immoweb.be/fr/annonce/maison/a-vendre/neerijse/3040/8921372,260000,Maison,True,False,False,3040,Neerijse,Maison,3.0,None,None,4.0,Équipée,False,False,False,None,True,None,1174.0,False,None
16312,https://www.immoweb.be/fr/annonce/maison/a-vendre/oudenburg/8460/8713652,276361,Maison,False,False,True,8460,Oudenburg,Maison,3.0,Bon,132.0,3.0,None,False,False,False,None,False,None,312.0,False,None
16313,https://www.immoweb.be/fr/annonce/maison/a-vendre/lanaken/3620/8918906,279000,Maison,False,False,False,3620,Lanaken,Maison,4.0,None,201.0,5.0,Équipée,True,False,True,None,False,None,426.0,False,None
16314,https://www.immoweb.be/fr/annonce/maison/a-vendre/lanaken/3620/8748658,279000,Maison,False,False,False,3620,Lanaken,Maison,3.0,Bon,None,3.0,Équipée,False,False,True,None,False,None,559.0,False,None
16315,https://www.immoweb.be/fr/annonce/maison/a-vendre/riemst/3770/8918907,279000,Maison,False,False,False,3770,Riemst,Maison,3.0,None,228.0,4.0,Équipée,True,False,False,None,False,None,746.0,False,None
