,postal_code,price,number_of_bedroom,house_area,fully_equipped_kitchen,terrace,is_new,locality,district,province,province_int,region,region_int,district_int,ratio_free_build
16273,1090,235000,2,85,1,1,1,Jette,Bruxelles-Capitale,bruxelles-capitale,3.0,bruxelles-capitale,2.0,30.0,-3.185926733090803
16274,2180,209000,2,90,1,1,1,Antwerpen,Antwerpen,anvers,2.0,flandre,0.0,17.0,-2.3140252327608355
16275,2610,246000,3,121,1,0,1,Antwerpen,Antwerpen,anvers,2.0,flandre,0.0,17.0,-2.3140252327608355
16276,6700,239000,3,120,1,0,0,Arlon,Arlon,luxembourg,10.0,wallonie,1.0,39.0,-1.5638984102976647
16277,4130,215000,2,93,1,0,1,Esneux,Liège,liege,4.0,wallonie,1.0,3.0,-2.263548830092281
16278,4100,245000,2,89,1,1,1,Seraing,Liège,liege,4.0,wallonie,1.0,3.0,-2.719015898762852
16279,6792,248500,3,118,1,0,1,Aubange,Arlon,luxembourg,10.0,wallonie,1.0,39.0,-1.8593203296248104
16280,1932,209000,2,73,1,1,1,Zaventem,Hal-Vilvorde,brabant-flamand,5.0,flandre,0.0,8.0,-2.612727828309232
16281,1083,208000,3,88,1,1,1,Ganshoren,Bruxelles-Capitale,bruxelles-capitale,3.0,bruxelles-capitale,2.0,30.0,-3.129092896868724
16282,7700,225000,2,88,1,1,1,Mouscron,Tournai et Mouscron,hainaut,6.0,wallonie,1.0,6.0,-2.87287404022708
16283,7700,225000,2,88,1,1,1,Moeskroen,Tournai et Mouscron,hainaut,6.0,wallonie,1.0,6.0,-2.87287404022708
16284,4300,209000,2,80,1,0,1,Waremme,Waremme,liege,4.0,wallonie,1.0,14.0,-2.160488066184539
16285,8670,215000,1,47,1,0,1,Koksijde,Veurne,flandre-occidentale,0.0,flandre,0.0,36.0,-2.4518414735714886
16286,1080,220000,2,113,1,1,1,Molenbeek-Saint-Jean,Bruxelles-Capitale,bruxelles-capitale,3.0,bruxelles-capitale,2.0,30.0,-3.036240582144672
16287,1080,220000,2,113,1,1,1,Sint-Jans-Molenbeek,Bruxelles-Capitale,bruxelles-capitale,3.0,bruxelles-capitale,2.0,30.0,-3.036240582144672
16288,2640,220000,2,78,1,0,0,Mortsel,Antwerpen,anvers,2.0,flandre,0.0,17.0,-3.1076588505474843
16289,2500,226000,2,96,1,1,1,Lier,Mechelen,anvers,2.0,flandre,0.0,29.0,-2.2805024714573197
16290,1030,229000,2,90,1,1,1,Schaerbeek,Bruxelles-Capitale,bruxelles-capitale,3.0,bruxelles-capitale,2.0,30.0,-3.385183363615821
16291,1030,229000,2,90,1,1,1,Schaarbeek,Bruxelles-Capitale,bruxelles-capitale,3.0,bruxelles-capitale,2.0,30.0,-3.385183363615821
16292,8660,229000,1,69,0,1,1,De Panne,Veurne,flandre-occidentale,0.0,flandre,0.0,36.0,-2.0057725474178842
16293,1190,234000,2,82,1,0,0,Forest,Bruxelles-Capitale,bruxelles-capitale,3.0,bruxelles-capitale,2.0,30.0,-3.0107609861103684
16294,1190,234000,2,82,1,0,0,Vorst,Bruxelles-Capitale,bruxelles-capitale,3.0,bruxelles-capitale,2.0,30.0,-3.0107609861103684
16295,1730,235000,2,80,1,1,1,Asse,Hal-Vilvorde,brabant-flamand,5.0,flandre,0.0,8.0,-2.3967826889689516
16296,4621,235000,2,110,1,0,1,Fléron,Liège,liege,4.0,wallonie,1.0,3.0,-2.9412505766011394
16297,1190,239000,2,100,1,0,0,Forest,Bruxelles-Capitale,bruxelles-capitale,3.0,bruxelles-capitale,2.0,30.0,-3.0107609861103684
16298,1190,239000,2,100,1,0,0,Vorst,Bruxelles-Capitale,bruxelles-capitale,3.0,bruxelles-capitale,2.0,30.0,-3.0107609861103684
16299,1030,245000,2,79,1,1,1,Schaerbeek,Bruxelles-Capitale,bruxelles-capitale,3.0,bruxelles-capitale,2.0,30.0,-3.385183363615821
16300,1030,245000,2,79,1,1,1,Schaarbeek,Bruxelles-Capitale,bruxelles-capitale,3.0,bruxelles-capitale,2.0,30.0,-3.385183363615821
16301,1050,240000,2,85,0,0,0,Ixelles,Bruxelles-Capitale,bruxelles-capitale,3.0,bruxelles-capitale,2.0,30.0,-3.458049905353811
16302,1050,240000,2,85,0,0,0,Elsene,Bruxelles-Capitale,bruxelles-capitale,3.0,bruxelles-capitale,2.0,30.0,-3.458049905353811
16303,2100,234900,3,130,1,1,0,Antwerpen,Antwerpen,anvers,2.0,flandre,0.0,17.0,-2.3140252327608355
16304,2600,245000,3,114,1,1,0,Antwerpen,Antwerpen,anvers,2.0,flandre,0.0,17.0,-2.3140252327608355
16305,8870,220000,2,116,1,1,1,Izegem,Roeselare,flandre-occidentale,0.0,flandre,0.0,41.0,-2.9604531825208737
16306,4000,229000,2,120,1,1,1,Liège,Liège,liege,4.0,wallonie,1.0,3.0,-2.830604864273826
16307,1930,235000,2,87,1,0,1,Zaventem,Hal-Vilvorde,brabant-flamand,5.0,flandre,0.0,8.0,-2.612727828309232
16308,2018,240000,3,128,1,1,0,Antwerpen,Antwerpen,anvers,2.0,flandre,0.0,17.0,-2.3140252327608355
16309,1080,225000,2,95,1,0,1,Molenbeek-Saint-Jean,Bruxelles-Capitale,bruxelles-capitale,3.0,bruxelles-capitale,2.0,30.0,-3.036240582144672
